id,name,brand,address.addr1,address.city,address.region,address.country,latitude,longitude,check_in_at,check_in,check_out_at,check_out,event,nights,sale_price,taxes,total_price,url
12907230-80e1-4ad1-9a9c-bd8060313466,Embassy Suites by Hilton Seattle Downtown Pioneer Square,Hilton,255 S King St,Seattle,WA,US,47.59786,-122.33094,8/27/2023 0:00,"Sun, Aug 27",8/27/2023 19:00,"Sun, Aug 27",Ed Sheeran + - = ÷ x Tour Seattle ,1,750,121,871,https://www.gohoken.com/hotels/12907230-80e1-4ad1-9a9c-bd8060313466/eb316807-00c9-41dd-b088-635960f5bc37
12907230-80e1-4ad1-9a9c-bd8060313466,Embassy Suites by Hilton Seattle Downtown Pioneer Square,Hilton,255 S King St,Seattle,WA,US,47.59786,-122.33094,9/21/2023 0:00,"Thu, Sep 21",9/21/2023 19:00,"Thu, Sep 21",Coldplay Music of the Spheres World Tour Seattle,1,525,86,611,https://www.gohoken.com/hotels/12907230-80e1-4ad1-9a9c-bd8060313466/4a1c3665-0878-44a5-a7bf-ab01bd16f64f
e756e501-b81e-4daf-b659-c3cbe5522f86,Homewood Suites by Hilton Athens Downtown University Area,Hilton,750 E Broad St,Athens,GA,US,33.958217,-83.370493,9/23/2023 0:00,"Sat, Sep 23",9/24/2023 19:00,"Sun, Sep 24",Alpha Chi Omega Parents Weekend UGA,1,1004,311,1315,https://www.gohoken.com/hotels/e756e501-b81e-4daf-b659-c3cbe5522f86/00a089c0-9c0e-44fb-bcdd-e35bdfd9631f
2860d09e-5137-47c5-ac16-5bcf33605043,Hyatt Regency Louisville,Hyatt,320 W Jefferson St,Louisville,KY,US,38.25362,-85.75656,3/25/2023 0:00,"Sat, Mar 25",3/26/2023 19:00,"Sun, Mar 26",NCAA South Regional Louisville,1,267,86,353,https://www.gohoken.com/hotels/2860d09e-5137-47c5-ac16-5bcf33605043/2fe4d5d5-d0a8-41d6-a309-c7e0095fbec4
2860d09e-5137-47c5-ac16-5bcf33605043,Hyatt Regency Louisville,Hyatt,320 W Jefferson St,Louisville,KY,US,38.25362,-85.75656,4/21/2023 0:00,"Fri, Apr 21",4/21/2023 19:00,"Fri, Apr 21",Morgan Wallen One Night At A Time World Tour Louisville,1,229,36,265,https://www.gohoken.com/hotels/2860d09e-5137-47c5-ac16-5bcf33605043/1a67b294-f78e-41fa-9c79-87aabaed8e70
10b2399e-6b75-4474-8f73-d12d3f72a104,Hyatt Regency Cincinnati,Hyatt,151 W 5th St,Cincinnati,OH,US,39.10055,-84.5157,7/1/2023 0:00,"Sat, Jul 1",7/1/2023 19:00,"Sat, Jul 1",The Eras Tour Taylor Swift Cincinnati,1,494,90,584,https://www.gohoken.com/hotels/10b2399e-6b75-4474-8f73-d12d3f72a104/666a3656-0402-4e37-b362-26924e08fde0
430b1b02-6d11-405c-b410-31afc6b69be4,Cambria Hotel Pittsburgh - Downtown,Independent,1320 Centre Ave,Pittsburgh,PA,US,40.440165,-79.98781,3/19/2023 0:00,"Sun, Mar 19",3/19/2023 19:00,"Sun, Mar 19",John Mayer Solo Tour Pittsburgh,1,239,33,272,https://www.gohoken.com/hotels/430b1b02-6d11-405c-b410-31afc6b69be4/8a7919dc-8e7d-4db4-a06f-8aa26e66d557
d5f518b4-b7b9-4bb2-95da-8224932a5940,The Inn at 97 Winder,Independent,97 Winder St,Detroit,MI,US,42.34162,-83.052061,3/23/2023 0:00,"Thu, Mar 23",3/23/2023 19:00,"Thu, Mar 23",John Mayer Solo Tour Detroit,1,209,14,223,https://www.gohoken.com/hotels/d5f518b4-b7b9-4bb2-95da-8224932a5940/6f139113-6864-4319-abe1-777dae5fad0e
2ba2a916-c08e-40f5-ae20-8f807fb18097,Graduate Knoxville,Independent,1706 Cumberland Ave,Knoxville,TN,US,35.95567,-83.93256,3/31/2023 0:00,"Fri, Mar 31",4/2/2023 19:00,"Sun, Apr 2",2023 Big Ears Festival,2,531,275,1337,https://www.gohoken.com/hotels/2ba2a916-c08e-40f5-ae20-8f807fb18097/b92f232e-64a4-4c9c-8bda-41625bd46f28
34c8fd04-2737-4d81-93dc-54bd3bd41130,Colony Palms Hotel,Independent,572 N Indian Canyon Dr,Palm Springs,CA,US,33.83154,-116.5453,4/15/2023 1:00,"Sat, Apr 15",4/16/2023 21:00,"Sun, Apr 16","Festival Season in Coachella, CA",1,925,376,1301,https://www.gohoken.com/hotels/34c8fd04-2737-4d81-93dc-54bd3bd41130/52035d4a-4c3c-4a98-b2b1-aff85df91d2d
